customer_id,age,gender,tenure_months,subscription_type,monthly_spend,support_tickets,login_frequency,churn
1,65,Female,34,Standard,883.91,7,16,1
2,65,Female,59,Standard,236.04,2,15,0
3,39,Female,3,Standard,721.52,5,7,1
4,25,Female,25,Standard,225.99,0,1,1
5,55,Male,14,Premium,540.26,9,16,0
6,46,Female,9,Premium,592.08,0,20,0
7,24,Female,4,Standard,438.36,9,16,0
8,40,Male,9,Basic,301.44,7,27,0
9,41,Male,57,Premium,287.51,9,1,0
10,61,Male,45,Basic,655.28,3,21,0
11,48,Female,6,Basic,587.79,2,18,0
12,63,Female,55,Standard,359.05,0,7,0
13,50,Female,44,Basic,614.51,0,1,1
14,45,Male,23,Standard,577.7,3,27,0
15,41,Male,52,Standard,481.61,2,3,1
16,22,Male,47,Basic,639.83,6,14,0
17,56,Male,56,Basic,214.84,1,24,1
18,18,Female,36,Premium,466.52,5,12,0
19,42,Male,2,Basic,234.56,8,9,0
20,68,Female,25,Basic,599.49,4,21,1
21,24,Female,45,Standard,578.62,0,3,1
22,32,Female,5,Basic,336.81,0,16,0
23,43,Female,56,Premium,295.3,7,14,0
24,42,Female,11,Basic,644.72,0,5,1
25,28,Male,39,Premium,456.26,7,7,0
26,37,Male,10,Standard,328.71,1,14,1
27,45,Female,43,Premium,213.39,6,16,0
28,25,Female,2,Standard,684.24,3,15,1
29,42,Male,36,Premium,570.07,2,17,0
30,59,Female,18,Basic,936.97,8,26,0
31,69,Male,13,Standard,452.98,3,19,0
32,49,Male,45,Standard,330.19,7,25,0
33,57,Female,49,Basic,408.78,7,20,1
34,28,Male,52,Standard,787.86,1,11,0
35,48,Female,44,Premium,512.41,6,8,0
36,64,Male,3,Standard,764.04,0,11,0
37,27,Male,35,Basic,739.13,0,1,0
38,27,Female,36,Premium,281.1,7,7,0
39,19,Female,21,Premium,697.82,1,18,1
40,32,Male,17,Premium,156.96,7,20,0
41,44,Male,4,Standard,418.96,4,16,1
42,43,Female,33,Basic,302.78,2,28,1
43,21,Female,2,Premium,396.09,5,22,0
44,47,Female,39,Standard,416.86,7,25,0
45,51,Female,14,Standard,355.06,3,13,0
46,48,Female,16,Standard,748.09,3,3,0
47,25,Female,18,Standard,115.56,5,8,1
48,34,Female,15,Basic,579.63,2,14,1
49,44,Female,53,Standard,260.46,5,11,1
50,66,Male,32,Basic,391.3,5,22,0
51,47,Female,13,Premium,678.63,8,17,0
52,69,Male,3,Standard,574.54,5,19,0
53,65,Female,8,Basic,427.5,7,21,1
54,43,Female,20,Basic,224.26,6,22,1
55,21,Male,12,Basic,421.92,2,26,0
56,56,Female,55,Basic,260.13,2,3,0
57,40,Female,10,Basic,784.0,1,3,0
58,21,Male,55,Premium,344.17,2,29,0
59,54,Female,40,Premium,356.18,1,2,0
60,33,Female,41,Premium,573.9,8,9,0
61,39,Female,32,Basic,310.51,7,12,1
62,55,Female,44,Basic,682.36,6,16,0
63,55,Female,40,Basic,654.11,2,8,0
64,60,Male,55,Basic,345.02,8,27,0
65,56,Male,6,Standard,520.97,4,10,0
66,25,Male,56,Basic,851.44,4,3,0
67,27,Male,25,Standard,822.0,3,6,0
68,43,Male,12,Basic,193.59,3,16,1
69,44,Female,11,Premium,135.15,6,9,1
70,68,Female,58,Standard,897.98,1,3,0
71,60,Female,43,Standard,872.8,4,28,0
72,50,Male,56,Basic,679.58,9,5,0
73,19,Female,46,Premium,107.34,2,3,0
74,27,Female,37,Standard,704.1,8,3,0
75,48,Male,58,Premium,338.0,4,23,0
76,34,Male,20,Basic,279.05,2,15,0
77,30,Female,58,Premium,584.04,8,7,0
78,41,Male,54,Basic,793.67,9,8,0
79,33,Male,16,Basic,500.18,4,24,1
80,64,Male,29,Standard,991.52,2,28,0
81,51,Male,58,Basic,732.38,2,10,0
82,38,Female,15,Premium,775.64,3,8,1
83,25,Male,49,Basic,381.32,1,19,0
84,25,Female,29,Standard,190.74,5,27,0
85,42,Male,21,Premium,970.0,3,2,0
86,28,Male,17,Basic,744.83,6,28,0
87,67,Female,7,Standard,535.16,3,20,0
88,57,Female,45,Standard,475.06,8,2,0
89,49,Male,12,Standard,466.92,9,14,0
90,35,Male,8,Premium,466.28,7,22,0
91,41,Male,17,Premium,866.02,8,10,0
92,42,Female,22,Premium,112.8,8,14,0
93,56,Male,20,Basic,965.69,9,12,0
94,26,Male,2,Standard,373.81,2,29,1
95,24,Male,43,Standard,372.42,2,1,0
96,45,Male,12,Basic,624.25,7,10,1
97,26,Male,25,Basic,551.66,8,26,0
98,31,Female,8,Basic,870.47,2,8,0
99,67,Male,59,Standard,894.23,8,18,0
100,51,Male,43,Premium,704.41,2,13,0
101,49,Male,40,Premium,429.19,8,29,1
102,55,Male,6,Basic,187.75,1,2,1
103,19,Male,26,Basic,499.66,8,12,0
104,43,Female,22,Standard,977.98,0,9,0
105,64,Female,52,Standard,137.78,4,25,1
106,57,Male,46,Standard,653.43,0,12,0
107,39,Female,57,Standard,583.16,2,21,0
